ip,classification,Harmless,Malicious,Suspicious,ASN
60.205.106.108,malicious,62,3,0,37963
60.205.111.35,malicious,62,4,2,37963
60.205.225.151,malicious,61,5,1,37963
60.209.38.155,malicious,56,11,2,4837
60.212.66.199,malicious,53,16,0,4837
60.213.31.250,malicious,63,3,1,4837
60.213.66.199,malicious,56,10,1,4837
60.214.127.162,malicious,58,5,2,4837
60.214.86.80,malicious,55,15,0,4837
60.216.186.13,malicious,64,3,0,4837
60.217.64.137,malicious,61,4,1,4837
60.217.78.245,malicious,64,2,1,4837
60.220.217.134,malicious,65,0,1,4837
60.220.218.91,malicious,64,0,1,4837
60.223.74.10,malicious,64,1,1,4837
60.23.233.151,malicious,63,1,0,4837
60.23.54.94,malicious,61,5,1,4837
60.238.119.41,malicious,61,7,0,2518
60.241.198.2,malicious,62,4,0,7545
60.242.151.51,malicious,61,6,1,7545
60.244.142.105,malicious,65,2,0,7482
60.247.145.7,malicious,60,5,1,38283
60.248.213.66,malicious,59,6,2,3462
60.249.77.27,malicious,59,6,0,3462
60.250.121.236,malicious,62,5,1,3462
60.251.182.173,malicious,61,5,1,3462
60.251.182.60,malicious,63,4,0,3462
60.251.62.166,malicious,61,6,0,3462
60.255.181.202,malicious,62,5,1,4837
60.255.43.105,malicious,60,5,2,4837
60.28.24.243,malicious,61,5,1,4837
60.29.130.66,malicious,64,1,1,4837
60.49.223.27,malicious,64,2,0,4788
60.84.19.111,malicious,58,8,1,17676
61.10.228.33,malicious,65,2,0,9908
61.106.112.185,malicious,59,7,2,17839
61.111.11.240,malicious,54,14,2,3786
61.130.55.85,malicious,62,4,1,4134
61.132.13.117,malicious,59,9,0,4134
61.133.214.62,malicious,59,5,0,4134
61.136.96.18,malicious,61,5,2,4837
61.141.31.3,malicious,60,7,2,4134
61.142.210.232,malicious,61,6,0,4134
61.143.233.131,malicious,62,5,0,4134
61.145.188.75,malicious,59,6,1,4134
61.147.197.188,malicious,59,7,2,23650
61.147.197.189,malicious,60,8,1,23650
61.147.209.31,malicious,58,8,0,4134
61.147.64.194,malicious,64,2,0,4134
61.148.17.146,malicious,63,2,1,4808
61.150.94.214,malicious,60,6,1,4134
61.155.169.171,malicious,60,4,2,140292
61.162.194.246,malicious,61,4,2,4837
61.162.207.193,malicious,65,2,0,4837
61.164.102.94,malicious,62,4,2,4134
