ip,classification,Harmless,Malicious,Suspicious
23.111.71.108,malicious,0,0,0
23.148.145.204,malicious,62,4,1
23.151.232.68,malicious,63,3,0
23.151.232.69,malicious,63,1,0
23.172.112.70,malicious,61,2,0
23.224.81.247,malicious,60,5,2
23.224.97.235,malicious,61,5,1
23.234.223.73,malicious,62,3,1
23.239.0.248,malicious,65,2,1
23.239.0.254,malicious,0,0,0
23.239.29.109,malicious,60,5,0
23.239.4.211,malicious,61,8,0
23.247.108.48,malicious,61,3,2
23.251.102.194,malicious,63,4,1
23.251.102.195,malicious,62,5,1
23.251.102.196,malicious,61,5,1
23.251.102.197,malicious,60,6,1
23.251.102.198,malicious,63,3,1
23.251.102.250,malicious,60,7,1
23.251.102.251,malicious,60,6,1
23.251.102.253,malicious,61,4,1
23.251.102.254,malicious,61,5,1
23.251.102.74,malicious,60,9,0
23.251.102.75,malicious,57,8,1
23.251.102.76,malicious,62,5,0
23.251.102.77,malicious,60,5,0
23.251.102.90,malicious,64,3,1
23.251.102.91,malicious,63,2,1
23.251.102.92,malicious,62,3,2
23.251.102.93,malicious,63,2,0
23.251.102.94,malicious,63,2,1
23.251.108.100,malicious,56,10,1
23.251.108.102,malicious,60,6,0
23.251.108.90,malicious,62,6,1
23.251.108.91,malicious,59,8,1
23.251.108.94,malicious,60,7,1
23.251.108.99,malicious,56,11,1
23.90.160.10,malicious,0,0,0
23.90.160.11,malicious,0,0,0
23.90.160.12,malicious,0,0,0
23.90.160.123,malicious,62,3,0
23.90.160.124,malicious,62,3,0
23.90.160.125,malicious,62,4,0
23.90.160.126,malicious,62,4,1
23.90.160.13,malicious,0,0,0
23.90.160.130,malicious,64,4,0
23.90.160.131,malicious,62,3,1
23.90.160.132,malicious,62,3,1
23.90.160.134,malicious,62,3,0
23.90.160.14,malicious,0,0,0
23.90.160.2,malicious,0,0,0
23.90.160.3,malicious,0,0,0
23.90.160.4,malicious,0,0,0
23.90.160.5,malicious,0,0,0
23.90.160.6,malicious,0,0,0
23.90.250.178,malicious,60,8,1
23.92.27.179,malicious,59,8,0
23.92.27.206,malicious,59,7,0
23.93.102.162,malicious,55,12,1
23.94.28.171,malicious,59,10,1
23.94.74.60,malicious,0,0,0
23.95.110.140,malicious,56,10,1
23.95.191.221,malicious,64,1,0
23.95.4.194,malicious,53,13,0
24.103.95.58,malicious,64,5,0
24.105.158.102,malicious,64,2,1
24.107.58.49,malicious,64,1,0
24.11.148.99,malicious,0,0,0
24.113.132.85,malicious,64,1,0
24.144.84.11,malicious,0,0,0
24.144.88.183,malicious,0,0,0
24.144.88.241,malicious,0,0,0
24.144.96.74,malicious,0,0,0
24.148.74.154,malicious,64,1,0
24.152.14.150,malicious,53,14,1
24.159.68.232,malicious,64,1,0
24.199.100.179,malicious,65,1,0
24.199.104.121,malicious,65,1,1
24.199.108.157,malicious,62,1,0
24.199.115.32,malicious,0,0,0
24.199.88.50,malicious,64,1,0
24.199.98.33,malicious,54,13,0
24.207.174.170,malicious,59,6,1
24.21.8.174,malicious,62,2,1
24.226.145.226,malicious,64,2,0
24.227.154.18,malicious,63,1,1
24.23.17.1,malicious,0,0,0
24.24.181.179,malicious,0,0,0
24.255.124.190,malicious,63,1,1
24.39.69.118,malicious,0,0,0
24.50.224.13,malicious,61,3,1
24.54.68.108,malicious,64,2,1
24.69.54.132,malicious,0,0,0
